CustomerID,Recency,Frequency,Monetary,Recency_log,Monetary_log,R_Score,F_Score,M_Score,RFM_Score
12347,3,7,4310.0,1.3862943611198906,8.368925174747135,5,4,5,545
12348,76,4,1797.24,4.343805421853684,7.494563687769957,2,4,4,244
12349,19,1,1757.55,2.995732273553991,7.472244884833674,4,1,4,414
12350,311,1,334.4,5.7430031878094825,5.815323849389109,1,1,1,111
12352,37,8,2506.04,3.6375861597263857,7.826858053356098,3,5,4,354
12354,233,1,1079.4,5.455321115357702,6.985086621918461,1,1,3,113
12355,215,1,459.4,5.375278407684165,6.132095676847728,1,1,2,112
12356,23,3,2811.43,3.1780538303479458,7.941804157314053,4,3,5,435
12358,2,2,1168.06,1.0986122886681098,7.063955286074528,5,2,3,523
12360,53,3,2662.06,3.9889840465642745,7.887231116540211,2,3,4,234
12361,288,1,189.9,5.666426688112432,5.251749730731702,1,1,1,111
12362,4,10,5226.23,1.6094379124341003,8.56163678004062,5,5,5,555
12363,110,2,552.0,4.709530201312334,6.315358001522335,1,2,2,122
12364,8,4,1313.1,2.1972245773362196,7.180907299649593,5,4,4,544
12365,292,2,641.38,5.680172609017068,6.465180028897591,1,2,2,122
12367,5,1,168.9,1.791759469228055,5.135210028677887,5,1,1,511
12370,52,4,3541.94,3.970291913552122,8.172712169921061,2,4,5,245
12371,45,2,1887.96,3.828641396489095,7.543781692052325,3,2,4,324
12372,72,3,1298.04,4.290459441148391,7.169380809114136,2,3,4,234
12373,312,1,364.6,5.746203190540153,5.901539839579995,1,1,1,111
12374,26,1,742.9300000000001,3.295836866004329,6.6119469443852195,3,1,3,313
12375,11,2,457.5,2.4849066497880004,6.127960291696519,4,2,2,422
12378,130,1,4008.62,4.875197323201151,8.29645175271804,1,1,5,115
12379,82,2,852.24,4.418840607796598,6.749040867823617,2,2,3,223
12380,22,4,2724.81,3.1354942159291497,7.910520910634419,4,4,5,445
12381,5,5,1845.31,1.791759469228055,7.520944331624911,5,4,4,544
12383,185,5,1850.56,5.225746673713202,7.523783805985769,1,4,4,144
12384,29,2,585.27,3.4011973816621555,6.373780434317173,3,2,2,322
12388,16,6,2780.66,2.833213344056216,7.930803150780256,4,4,5,445
12390,80,1,549.84,4.394449154672439,6.311444385858925,2,1,2,212
12391,22,1,439.66,3.1354942159291497,6.0882736030360425,4,1,2,412
12393,73,4,1582.6000000000001,4.30406509320417,7.3674560152319755,2,4,4,244
12394,64,2,1272.48,4.174387269895637,7.149508589545504,2,2,4,224
12395,20,12,3018.63,3.044522437723423,8.012889586306857,4,5,5,455
12397,36,2,2409.9,3.6109179126442243,7.7877554007552545,3,2,4,324
12398,46,1,1635.6599999999999,3.8501476017100584,7.4004128587924045,3,1,4,314
12399,120,4,1108.65,4.795790545596741,7.011799929268738,1,4,3,143
12403,50,1,427.7,3.9318256327243257,6.0607573736039315,3,1,2,312
12405,149,1,1710.39,5.0106352940962555,7.445061184797548,1,1,4,114
12406,23,2,3415.3,3.1780538303479458,8.136313373066384,4,2,5,425
12407,50,5,1708.1200000000001,3.9318256327243257,7.4437338971514055,3,4,4,344
12408,33,5,2888.55,3.5263605246161616,7.968856059639959,3,4,5,345
12410,309,2,693.3299999999999,5.736572297479192,6.542947351813216,1,2,3,123
12412,75,3,1226.88,4.330733340286331,7.1130443840624835,2,3,3,233
12413,67,3,758.1,4.219507705176107,6.632133521022722,2,3,3,233
12414,218,3,562.41,5.389071729816501,6.334007604663525,1,3,2,132
12417,4,9,3649.1,1.6094379124341003,8.202509843461513,5,5,5,555
12418,113,1,668.58,4.736198448394496,6.506650650150935,1,1,2,112
12420,64,1,600.39,4.174387269895637,6.3992436425478765,2,1,2,212
12421,16,4,807.04,2.833213344056216,6.694611562246261,4,4,3,443
12422,96,3,803.5600000000001,4.574710978503383,6.690295544136225,1,3,3,133
12423,1,8,1859.31,0.6931471805599453,7.528498419486568,5,5,4,554
12424,163,2,1760.96,5.099866427824199,7.474182104762846,1,2,4,124
12425,79,1,777.2,4.382026634673881,6.6569835605504535,2,1,3,213
12426,195,1,582.73,5.278114659230517,6.369438547154207,1,1,2,112
12427,22,3,825.8,3.1354942159291497,6.717562827807613,4,3,3,433
12429,10,4,3750.4,2.3978952727983707,8.22988438262624,4,4,5,445
12430,44,1,256.4,3.8066624897703196,5.5506312951620265,3,1,1,311
12432,43,5,5059.32,3.784189633918261,8.529185001388596,3,4,5,345
12434,85,2,806.14,4.454347296253507,6.6934971352559,2,2,3,223
12436,100,1,509.01,4.61512051684126,6.234430333369278,1,1,2,112
12438,15,2,2906.85,2.772588722239781,7.9751692554798295,4,2,5,425
12442,4,1,172.06,1.6094379124341003,5.153638355178593,5,1,1,511
12444,22,5,5005.46,3.1354942159291497,8.518484357502437,4,4,5,445
12445,23,1,133.4,3.1780538303479458,4.900820428089049,4,1,1,411
12446,58,1,1002.3100000000001,4.07753744390572,6.9110598129904375,2,1,3,213
12447,244,1,476.49,5.501258210544727,6.168543217293113,1,1,2,112
12448,45,1,449.45,3.828641396489095,6.110247083097449,3,1,2,312
12449,23,4,4067.29,3.1780538303479458,8.310978042729836,4,4,5,445
12450,157,2,197.88,5.062595033026967,5.292701627762401,1,2,1,121
12452,17,2,430.57,2.8903717578961645,6.067429722163682,4,2,2,422
12453,135,1,707.09,4.912654885736052,6.562571204258897,1,1,3,113
12454,57,1,3528.34,4.060443010546419,8.168866163607964,2,1,5,215
